2018-11-20 06:22:10,660 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:013 state:24 tract:508101'}, will retry shortly
2018-11-20 06:23:38,715 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:045 state:24 tract:010502'}, will retry shortly
2018-11-20 06:24:07,928 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:033 state:24 tract:803002'}, will retry shortly
2018-11-20 06:24:11,297 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:005 state:25 tract:613400'}, will retry shortly
2018-11-20 06:26:57,603 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:017 state:25 tract:333200'}, will retry shortly
2018-11-20 06:27:25,193 - WARNING - received error fetching 2010 sf1 data {'in': 'county:025 state:25 tract:070200', 'for': 'block group:*'}, will retry shortly
2018-11-20 06:27:51,496 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:033 state:24 tract:805907'}, will retry shortly
2018-11-20 06:30:25,748 - WARNING - received error fetching 2010 sf1 data {'in': 'county:049 state:26 tract:011505', 'for': 'block group:*'}, will retry shortly
2018-11-20 06:31:12,433 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:033 state:24 tract:807304'}, will retry shortly
2018-11-20 06:31:19,416 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:065 state:26 tract:980100'}, will retry shortly
2018-11-20 06:32:51,495 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:107 state:26 tract:961000'}, will retry shortly
2018-11-20 06:33:45,921 - WARNING - received error fetching 2010 sf1 data {'in': 'county:125 state:26 tract:121500', 'for': 'block group:*'}, will retry shortly
2018-11-20 06:35:03,599 - WARNING - received error fetching 2010 sf1 data {'in': 'county:145 state:26 tract:001400', 'for': 'block group:*'}, will retry shortly
2018-11-20 06:35:58,487 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:003 state:27 tract:050111'}, will retry shortly
2018-11-20 06:36:49,600 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:029 state:27 tract:000200'}, will retry shortly
2018-11-20 06:37:36,370 - WARNING - received error fetching 2010 sf1 data {'in': 'county:163 state:26 tract:524500', 'for': 'block group:*'}, will retry shortly
2018-11-20 06:37:55,057 - WARNING - received error fetching 2010 sf1 data {'in': 'county:059 state:27 tract:130200', 'for': 'block group:*'}, will retry shortly
